global_step,step,mode,phase,draft_length,success,latency_ms,tokens
7,7,fixed_1,steady,1,1,3948,64
8,8,fixed_1,steady,1,1,3858,64
9,9,fixed_1,steady,1,1,3986,64
10,10,fixed_1,steady,1,1,3824,64
11,1,fixed_2,steady,2,1,5280,64
12,2,fixed_2,steady,2,1,4546,64
13,3,fixed_2,steady,2,1,4825,64
14,4,fixed_2,steady,2,1,4451,64
15,5,fixed_2,steady,2,1,5357,64
16,6,fixed_2,steady,2,1,6562,64
17,7,fixed_2,steady,2,1,9960,64
18,8,fixed_2,steady,2,1,9407,64
19,9,fixed_2,steady,2,1,6011,64
20,10,fixed_2,steady,2,1,4713,64
21,1,fixed_3,steady,3,1,4140,64
22,2,fixed_3,steady,3,1,3995,64
23,3,fixed_3,steady,3,1,3849,64
24,4,fixed_3,steady,3,1,3890,64
25,5,fixed_3,steady,3,1,4083,64
26,6,fixed_3,steady,3,1,4511,64
27,7,fixed_3,steady,3,1,4489,64
28,8,fixed_3,steady,3,1,4193,64
29,9,fixed_3,steady,3,1,5159,64
30,10,fixed_3,steady,3,1,4492,64
31,1,fixed_4,steady,4,1,6130,64
32,2,fixed_4,steady,4,1,4550,64
33,3,fixed_4,steady,4,1,4870,64
34,4,fixed_4,steady,4,1,4224,64
35,5,fixed_4,steady,4,1,5054,64
36,6,fixed_4,steady,4,1,6893,64
37,7,fixed_4,steady,4,1,6105,64
38,8,fixed_4,steady,4,1,4778,64
39,9,fixed_4,steady,4,1,5744,64
40,10,fixed_4,steady,4,1,4470,64
41,1,fixed_5,steady,5,1,6568,64
42,2,fixed_5,steady,5,1,5745,64
43,3,fixed_5,steady,5,1,4490,64
44,4,fixed_5,steady,5,1,4048,64
45,5,fixed_5,steady,5,1,4138,64
46,6,fixed_5,steady,5,1,4495,64
47,7,fixed_5,steady,5,1,4747,64
48,8,fixed_5,steady,5,1,5496,64
49,9,fixed_5,steady,5,1,4857,64
50,10,fixed_5,steady,5,1,4350,64
51,1,fixed_6,steady,6,1,5098,64
52,2,fixed_6,steady,6,1,5003,64
53,3,fixed_6,steady,6,1,5568,64
54,4,fixed_6,steady,6,1,4180,64
55,5,fixed_6,steady,6,1,4390,64
56,6,fixed_6,steady,6,1,4365,64
57,7,fixed_6,steady,6,1,4541,64
